source_text,target_text
"deus parece obter descanso, como se fazer quaisquer coisas fosse cansaço de deus",mutu'u resé tupã îekosu-berame'ĩ tupã kane'õ mba'e tetiruã monhanga îaramẽ
veio a aurora,our ko'emytanga
ouvindo missa nos dias que devem ser honrados,ara i momba'etepyra pupé missa rendupa
ficando a observar o procedimento das pessoas,abá rekó andu-andupa
"por acaso estava com a cintura fendida o maldito, balançando?",i ku'a-bok serã moxy oatimunga?
"melhor que isso me seria, pois, morrer",i xosémo nã ky xe re'õ
os que se salvam em deus,tupã resé oîepysyrõba'e
não quero ir para longe,n'asó-potari mamõ
eu tenho azia,xe pusu'umukaî
como diz o último dos mandamentos da santa madre igreja?,marã e'ipe santa madre igreja asé rekomonhangaba mondykaba?
por que será que ele não vem?,marã serã ture'ymi?
eu estaria bem arrumado se o levasse,a'emopeé ixé serasó-a'ubi é
o que não se confessa a cada ano,ro'y îabi'õ onhemombe'ue'ymba'e
que será que a gente detestará?,mba'epe asé ogûeroŷrõ ra'ene?
tua alma está muito branca,i morotĩngatu nde 'anga
"levantai-vos, vamos em seu caminho para encontrá-lo","pepu'am, t'îasó sapépe sobaîtĩamo"
"impedem os casamentos, mandando impossibilitá-los",mendara omoarûab i moabaibuká
"escondo-me bem, estando deitado aqui",aîemĩngatu kó gûitupa
"os que estão em maratauá acreditam em minhas palavras, entregando suas almas em minhas mãos","marataûãme tekoara ogûerobîá xe nhe'enga, xe pópe o 'anga me'enga"
"no caso de morrer algum, o que fica não pode casar-se com algum irmão ou irmã de seu cônjuge falecido","amõ re'õneme, opytaba'e nd'e'ikatuî omendá o mendasabambyra asykûera amõ resé"
eu já estou desvirginada,xe kûar ymûan
"após passar o seu parto, santa maria levou seu filho jesus para o templo","o membyraragûera kûab'iré, santa maria o membyra îesus rerasóû tupãokype"
"eu sou um assassino, causa de se ter medo dos pecados","morapitîara ixé, angaîpaba sykyîéba"
"ao passar a quarta-feira das cinzas sagradas, começa o grande jejum chamado quaresma","quarta-feira-tanimbu-karaíba rasápe îekuakupabusu, quaresma 'îaba nheypyrungi"
medroso,sykyîebora
roda de madeira,ybyrá-babaka
eu sou mais que tu,nde sosé ixé
"logo, decerto, passarás no lugar onde moro",koromõ ipó eregûatá xe rekoápe
não havia nenhuma pessoa que se compadecesse dele?,nd'oîkóîpe abá amõ i poreaûsuberekosaramo?
"faze-me tu valente, para que eu me oponha ao maldito, para sempre vencendo-o","xe mopyatã îepé, t'apu'am muru resé, aûîérama i moaûîébo"
"a seu próprio pedido, na cruz o pregaram","cruz resé i moîari, i îeruresabo é"
dar atenção aos fatos futuros,tekorama ri îeapysaká
aqueles velhos reis fedorentos?,-akó tubixanẽmbûera?
trouxeste teu fumo?,ererupe nde petyma?
por que seria que? por que razão haveria de?,marãpemo?
abraçando a cintura de teu parceiro,nde rapixara ku'a îubana
eu tenho catarata,xe resaoby
cera dos ouvidos,apysá-ygugûá
os que têm a bem-aventurança são os que têm pena das pessoas,tekokatu-eté rerekoara i poraûsubaryba'e
perseguidora do diabo,anhanga momosembara
"passar rápido, correr",kûab-apûan
em que lado porá os que são bons?,marangotype i angaturamba'e nongine?
"eis que, como está no céu, nosso senhor está dentro do pão","akó ybakype ogûekó îakatu, îandé îara rekóû miapepûera"
"o que tem fome, o faminto",i ambyasyba'e
faze perdoar a nós,emoîerekûab orébo
tiveste gozo com tuas lembranças de teus pecados antigos?,ereîmborype nde angaîpagûera resé nde ma'enduasaba?
arredondei-o,aîmoamandab
propondo ser bom,xe katurama momboîa
toma um só trago,e'u oîepé îuru nhote
"caem, às vezes, os frutos de suas árvores",okuî rakó amũme 'ybarambûera o 'yba suí
eu sou tísico,xe angaîbabîar
eu estou muito úmido,xe rygûasu
de madrugada,ka'amutumo
esse é meu antigo enforcador,akó xe îubykarûera
por que a gente põe a cruz na testa?,marãnamope asé o sybápe îoasaba moíni?
que não deixem de crer em mim,ta xe rerobîapo'ir umẽ
levando uma outra semelhante a ela tão logo se consuma muito,i îaroketé rupibé amoaé sapixara rerasóbono
assim procede para disfarçar a existência de seus filhotes,o a'yra kuakupa emonã sekóû
somente quando bebes cauim tu queres ser valente?,kagûápe nhõ nde ratãngatu-potá?
"parti dele, para que não vos corte em pedaços!","pepo'i i xuí, aîpó n'opoasyk-asykabi"
bem com os meus olhos vi que tu as escondeste,xe resá pupé-katu asepîak nde i mimagûera
matam,îaîuká
o sol faz as pessoas terem muita sede,kûarasy oporomo'y'useîeté
"que ouça, então, alguma coisa, para fazer estar bem sua alma",t'oîapysaká a'ereme marã o 'anga moingó-katuagûama resé
hei de revirar seu ventre opilado!,t'aîpobu sygé-aponga!
costumo alimentar gente,xe poropoîxûer
a ponte derrubam,îarybobõ omonguî
santa maria é o seu nome,"""santa maria"" sera"
misérias da vida,tekó poreaûsuba
a crença em deus está somente em suas bocas,i îurupe nhõ tupã rerobîara ruî
é enjoativa minha comida,i ting xe remi'u
"e por outra parte, semelhantemente, o próprio mar será mais terrível do que é seu costume",kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé
"tu, em teus braços ergueste jesus","endé, nde îybápe îesu eresupi"
deveria mandá-lo,aîmondó-monẽmo
meu rosto é envelhecido,xe robá tuîba'e
a maldade fez feder minha alma,xe 'anga omonem tekoangaîpaba
oxalá ela estivesse sem roupa!,ikatupe nhẽ temõ mã!
