source_text,target_text
"é, totalmente, uma comida de morte",te'õ remi'u pabẽ
por nos amar mais do que nossa mãe ama seus próprios filhinhos,asé sy o membypitanga raûsuba sosé asé raûsume nhẽ
"por acaso estava com a cintura fendida o maldito, balançando?",i ku'a-bok serã moxy oatimunga?
você se alegra quando um homem apalpa seus seios?,nde rorype nde kama abá sungáreme?
os que se salvam em deus,tupã resé oîepysyrõba'e
desviei as águas,aty-mombîá
eu tenho azia,xe pusu'umukaî
como diz o último dos mandamentos da santa mãe igreja?,marã e'ipe santa madre igreja asé rekomonhangaba mondykaba?
durmo com roupa,aroker aoba
barreei a casa com terra,oka aîyby-apetek
não porque não me ama,na xe raûsube'ỹmbeî
"portanto, corrija-se logo, antes que a morte o surpreenda","emonãnamo enhenonhen esapy'a, te'õ nde resapy'a e'ymebé"
faço-me matar,aîeîuká-ukar
roí-o,aîakarãî
"impedem os casamentos, mandando impossibilitá-los",mendara omoarûab i moabaibuká
conhece o modo pelo qual o padre te tratou ao te batizar,eîkuab abaré nde mongaraipápe nde rerekoagûera
"hei de frequentar ibioca, revirarei também itaoca e, enfim, jupaoguaó","ybyoka asapekóne, itaoka abé aîpobu, rumby, îupaogûaóne"
o limiar da porta,okena robapy
futuros defuntos somos todos nós,ambyrama pabẽ îandé
com toda uma corda amarraram-no,opá sama pupé i apytĩû
"eu sou um assassino, causa de se ter medo dos pecados","morapitîara ixé, angaîpaba sykyîéba"
"ao passar a quarta-feira de cinzas sagradas, começa o grande jejum chamado quaresma","quarta-feira-tanimbu-karaíba rasápe îekuakupabusu, quaresma 'îaba nheypyrungi"
"eis que sobre o capim ele está deitado, no lugar de comer da vaca","kapi'ĩ sosé kó tuî, tapi'irusu karuápe"
"todos juntos, todos de uma vez, à uma",oîepekatu
jovem de pouca idade,kunumĩgûasu-kakuabamo
"pranteiem logo sua miséria, estejam a se lastimar","taûîé pe poreaûsubagûama rapirõmo, peîemoangekoaíb peína"
e porventura na hóstia está jesus cristo?,a'e serãne hóstia pupé îesu cristo rekóû?
pelos campos,nhũbo
"a seu próprio pedido, na cruz o pregaram","cruz resé i moîari, i îeruresabo é"
dar atenção aos fatos futuros,tekorama ri îeapysaká
nosso inimigo vencendo para sempre,oré sumarã reîtyka memẽ
pus-me as trouxas no panacu,anhepanakũ-nhang
eu tenho olhos tortos,xe py-bang - eu tenho os pés tortos xe resá-bang
abraçando a cintura do seu parceiro,nde rapixara ku'a îubana
a palavra de deus eu experimentei,tupã nhe'enga asa'ang
sofrerá também alguma coisa ali estando?,oîporará abépe mba'e amõ eboûĩme oîkóbone?
os que têm a bem-aventurança são os que têm pena das pessoas,tekokatu-eté rerekoara i poraûsubaryba'e
perseguidora do diabo,anhanga momosembara
para afugentar o diabo,anhanga monhegûasemagûama resé
"de cada dez, repartir uma de nossas coisas com deus",opá kombó îabi'õ tupã supé oîepé asé mba'e moîa'oka
eu lhe mordo a cabeça,aî'asu'u
os que têm a beatitude são os que apaziguam as pessoas,tekokatueté rerekoara oporomonhyrõba'e
o que é felpudo,sabiîuakytãba'e
você teve prazer com suas lembranças de seus pecados antigos?,ereîmborype nde angaîpagûera resé nde ma'enduasaba?
havemos de anunciar futuramente sua partida,t'îaîmombe'u é irã i îepaboka
fiz-me homem,xe abagûasu
toma um só trago,e'u oîepé îuru nhote
"caem, às vezes, os frutos de suas árvores",okuî rakó amũme 'ybarambûera o 'yba suí
eu estou de luto,xe anhangyar
eu estou muito úmido,xe rygûasu
quem batizou não pode casar-se com aquela que batizou,oporoerokyba'epûera nd'e'ikatuî omendá o emierokûera resé
esse é meu antigo enforcador,akó xe îubykarûera
por que a gente põe a cruz na testa?,marãnamope asé o sybápe îoasaba moíni?
o que reflete sobre sua morte,se'õagûera resé onheangerekoba'e
vem para ver sua futura terra,eîori nde retamûama repîaka
"jesus, o que eu desejo","îesu, xe remimotara"
"não faz mal, não há problema",na sasyî
não se arrependeram alguns de seus vitupérios após o injuriarem?,nd'oîmoasyîpe amõ o nhe'engaibagûera iî a'o ré?
"outrora, passando por cima dela, eu fui a causa de você agir.","akûeîme, i apyrasapa, xe nde moingosaba é"
matam,îaîuká
pessoa paroleira,abá-nhe'engixûera
"que ouça, então, alguma coisa para fazer sua alma estar bem",t'oîapysaká a'ereme marã o 'anga moingó-katuagûama resé
hei de revirar seu ventre opilado!,t'aîpobu sygé-aponga!
antigamente eu pescava bem os peixes.,"akûeîme, rakó, pirá asekyî-marangatu"
e judas não se afligiu junto aos judeus pela traição a seu senhor?,a'epe îudas n'oîkotebẽî îudeus supé o îara me'engagûera resé?
vida longa da minha alma,xe 'anga rekó-puku
misérias da vida,tekó poreaûsuba
a crença em deus está somente em suas bocas,i îurupe nhõ tupã rerobîara ruî
"contendo a deus, está cheio seu ventre","tupana rerupa, i por nde rygé"
eu vou só,ixé anhõ asó
