source_text,target_text,id,modern_source_text
aparei as pontas deles,aîapyr-etab,0,aparar as pontas deles
doravante assim procedo,ko'yré emonã aîkó,1,doravante assim procedo
as doenças da alma do homem com ele saram bem,abá 'anga mara'ara i pupé opûeîrá-katu,2,as doenças da alma do homem com ele sararam bem
"é discreta, falando aos homens",i kunusãî abá supé onhe'enga,3,"é discreta, falando aos homens"
"para se vingar de seu cão que cria, um homem não o alimenta","o eîmbaba îagûara resé oîepyka, abá n'oîmomba'e'uî",4,"para se vingar de seu cão que cria, um homem não o alimenta"
dizem que foi,osó ra'e,5,dizem que foi
"vem para espantar o diabo, para que não me dane","îori anhanga mondyîa, ta xe momoxy umẽ",6,"vem para espantar o diabo, para que não me dane"
"como a esses, matarei os que costumam pecar, fazendo-os cair comigo em meu fogo","anga îá, angaîpabora aîuká, xe ratápe sero'ane",7,"como a esses, matarei os que costumam pecar, fazendo-os cair comigo em meu fogo"
vou como catador de madeira,asó ybyrá piaramo,8,vou como catador de madeira
"examinando a armadilha de alguém, tomando o seu conteúdo","abá mundé supa, i pora rá",9,"examinando a armadilha de alguém, tomando o seu conteúdo"
tu te comprazes quando um homem apalpa teus seios?,nde rorype nde kama abá sungáreme?,10,você se compraz quando um homem apalpa seus seios?
mostra o erro de minhas palavras,eîkuabe'eng xe nhe'engaipaba,11,mostra o erro de minhas palavras
afastaste teu filho e teu escravo de suas amantes?,"ereîpe'ape nde ra'yra, nde remiaûsuba i agûasá suí?",12,você afastou seu filho e seu escravo de suas amantes?
eu tenho cabelos muito arrepiados,xe 'a-tyragûasu,13,eu tenho cabelos muito arrepiados
"fora, na rua",okarype,14,"fora, na rua"
matai-o!,peîuká!,15,matem-no!
podem deixar um do outro?,e'ikatupe o îesuí opo'i?,16,podem deixar um do outro?
eu retomei o bom senso,xe tekokuabar,17,eu retomei o bom senso
"eis que era costume, então, dar nome às pessoas",ã tekó a'ereme moreroka,18,"eis que era costume, então, dar nome às pessoas"
vou com ele,sesé orosó,19,vou com ele
deixa que venha,t'oúne turi,20,deixa que venha
também queima vivo para sempre,sekobé abé okaî aûîeramanhẽ,21,também queima vivo para sempre
"estando doente, de verdade, não a ouviste, ou sendo preguiçoso?",nde mba'easyramo épe nd'eresendubi koîpó nde ate'ymamo nhẽ?,22,"estando doente, de verdade, não a ouviu, ou sendo preguiçoso?"
"o que tem nome guaixará, o chamado guaixará",gûaîxará seryba'e,23,"o que tem nome guaixará, o chamado guaixará"
que não me atraia a lei antiga de meus avós,ta xe momotar umẽ xe ramỹîa rekopûera,24,que não me atraia a lei antiga de meus avós
que se alegre esta vossa terra,ta sesãî kó pe retama,25,que se alegre esta sua terra
"confesso-me a ti, senhor padre, por causa do meu pecar muitas vezes","anhemombe'u ndebe, pa'i abaré setá nhẽ xe angaîpagûera resé",26,"confesso-me a você, senhor padre, por causa do meu pecar muitas vezes"
"amo pedro, assim como a seu filho",asaûsub pedro ta'yra resebé,27,"amo Pedro, assim como a seu filho"
tutano dos ossos,kanga putu'uma,28,tutano dos ossos
"foste para revistar as cisternas de água doce de alguém, tomando seu conteúdo?","eresópe abá îeky-'ye'ẽ supa, i pora rá?",29,"você foi para revistar as cisternas de água doce de alguém, tomando seu conteúdo?"
os que têm a bem-aventurança são os que têm pena das pessoas,tekokatu-eté rerekoara i poraûsubaryba'e,30,os que têm a bem-aventurança são os que têm pena das pessoas
ela é muito bojuda,i ku'agûasu,31,ela é muito gorda
vinde todos para festejar a jesus,"peîó pabẽnhẽ, îesu momoranga",32,venham todos para festejar a Jesus
como estas são vossas casas? -diferem muito,-anga îápe pe roka? -oîkoé-katu,33,como estas são suas casas? -diferem muito
nosso criador fazes estar contigo em teus braços,îandé monhangara nhẽ erenoĩ nde îybápe,34,nosso criador faz estar contigo em seus braços
saiu-me de través,xe raîé i xemi,35,saiu-me de lado
e portanto,a'e emonãnamo,36,e portanto
saltei-o,aîapyrasab,37,saltei-o
o que apanha o que ele matou,semiîukapûera rasara,38,o que apanha o que ele matou
"que saia o diabo dela, apartando-se com seu mau proceder","t'osẽ anhanga i xuí, gûekó-poxy rerosyîa",39,"que saia o diabo dela, afastando-se com seu mau proceder"
as brasas não falham,tatapynha n'oîabyî,40,as brasas não falham
"as crianças habitantes da aldeia de belém e também as habitantes das suas vizinhanças mandou assassinar, nelas querendo incluir nosso senhor","taba belém pora pitanga i amundaba pora abé apitiukari, sesebé îandé îara moîese'a-potá",41,"as crianças habitantes da aldeia de Belém e também as habitantes das suas vizinhanças mandou assassinar, incluindo nosso Senhor"
que deram à sua mão direita?,mba'epe oîme'eng i 'ekatuápe?,42,quem deu à sua mão direita?
fez vir outrora alguma coisa boa do céu para seus discípulos?,oîmbourype erimba'e mba'e-katu amõ ybaka suí o boîaetá supé?,43,fez vir outrora alguma coisa boa do céu para seus discípulos?
se tu não endureceres teu coração,nde nhy'ã nde i moatãnhẽe'ỹme,44,se você não endurecer seu coração
vem para nos arrebatar,eîori oré rekyîa,45,venha para nos arrebatar
não vos perceberam abaixai-vos,na pe andubi peîaŷbyk,46,"não perceberam, abaixem-se"
"por acaso estava com a cintura fendida o maldito, balançando?",i ku'a-bok serã moxy oatimunga?,47,"por acaso estava com a cintura fendida o maldito, balançando?"
devolveu seu pagamento aos príncipes,oîme'eng-îeby sepypûera morubixabetá supé,48,devolveu seu pagamento aos príncipes
passo raramente,moîepenhombé akûab,49,passo raramente
por isso mesmo em tua grande força apóio-me,nd'a'é te'e nde ratãngatu resé gûiîekoka,50,por isso mesmo em sua grande força me apoio
eu sou doido,xe 'angaingaíb,51,eu sou doido
deve ter ido,osó ipó re'ĩ,52,deve ter ido
o que deseja a justiça,tekokatu 'useîtara,53,o que deseja a justiça
será muito terrível futuramente para os que são maus?,i abaeté-katupe irã i angaîpaba'e supé?,54,será muito terrível futuramente para os que são maus?
mas procedendo de que modo se está como amigo do diabo?,marã oîkóbo-tepe asé anhanga rembiaûsubamo sekóû?,55,mas procedendo de que modo se está como amigo do diabo?
"mirra, poção de polpa","mirra, mosanga to'o suí",56,"mirra, poção de polpa"
homem falso,abá-memûã,57,homem falso
apenas não me faz morrer,sa'ĩ na xe momanõî!,58,apenas não me faça morrer
são numerosos os que te procuram,se'yî nde rekasara,59,são numerosos os que te procuram
violentaste uma solteira antes de lhe fazer mal?,ereîukaípe mendare'yma i momoxy îanondé?,60,Você violentou uma solteira antes de fazer mal a ela?
é terrível para mim vê-los,i abaeté sepîaka ixébo,61,É terrível para mim vê-los.
