source_text,target_text
aparei as pontas deles,aîapyr-etab
doravante assim procedo,ko'yré emonã aîkó
as doenças da alma do homem com ele saram bem,abá 'anga mara'ara i pupé opûeîrá-katu
"é discreta, falando aos homens",i kunusãî abá supé onhe'enga
"para se vingar de seu cão que cria, um homem não o alimenta","o eîmbaba îagûara resé oîepyka, abá n'oîmomba'e'uî"
dizem que foi,osó ra'e
"vem para espantar o diabo, para que não me dane","îori anhanga mondyîa, ta xe momoxy umẽ"
"como a esses, matarei os que costumam pecar, fazendo-os cair comigo em meu fogo","anga îá, angaîpabora aîuká, xe ratápe sero'ane"
vou como catador de madeira,asó ybyrá piaramo
"examinando a armadilha de alguém, tomando o seu conteúdo","abá mundé supa, i pora rá"
tu te comprazes quando um homem apalpa teus seios?,nde rorype nde kama abá sungáreme?
mostra o erro de minhas palavras,eîkuabe'eng xe nhe'engaipaba
afastaste teu filho e teu escravo de suas amantes?,"ereîpe'ape nde ra'yra, nde remiaûsuba i agûasá suí?"
eu tenho cabelos muito arrepiados,xe 'a-tyragûasu
"fora, na rua",okarype
matai-o!,peîuká!
podem deixar um do outro?,e'ikatupe o îesuí opo'i?
eu retomei o bom senso,xe tekokuabar
"eis que era costume, então, dar nome às pessoas",ã tekó a'ereme moreroka
vou com ele,sesé orosó
deixa que venha,t'oúne turi
também queima vivo para sempre,sekobé abé okaî aûîeramanhẽ
"estando doente, de verdade, não a ouviste, ou sendo preguiçoso?",nde mba'easyramo épe nd'eresendubi koîpó nde ate'ymamo nhẽ?
"o que tem nome guaixará, o chamado guaixará",gûaîxará seryba'e
que não me atraia a lei antiga de meus avós,ta xe momotar umẽ xe ramỹîa rekopûera
que se alegre esta vossa terra,ta sesãî kó pe retama
"confesso-me a ti, senhor padre, por causa do meu pecar muitas vezes","anhemombe'u ndebe, pa'i abaré setá nhẽ xe angaîpagûera resé"
"amo pedro, assim como a seu filho",asaûsub pedro ta'yra resebé
tutano dos ossos,kanga putu'uma
"foste para revistar as cisternas de água doce de alguém, tomando seu conteúdo?","eresópe abá îeky-'ye'ẽ supa, i pora rá?"
os que têm a bem-aventurança são os que têm pena das pessoas,tekokatu-eté rerekoara i poraûsubaryba'e
ela é muito bojuda,i ku'agûasu
vinde todos para festejar a jesus,"peîó pabẽnhẽ, îesu momoranga"
como estas são vossas casas? -diferem muito,-anga îápe pe roka? -oîkoé-katu
nosso criador fazes estar contigo em teus braços,îandé monhangara nhẽ erenoĩ nde îybápe
saiu-me de través,xe raîé i xemi
e portanto,a'e emonãnamo
saltei-o,aîapyrasab
o que apanha o que ele matou,semiîukapûera rasara
"que saia o diabo dela, apartando-se com seu mau proceder","t'osẽ anhanga i xuí, gûekó-poxy rerosyîa"
as brasas não falham,tatapynha n'oîabyî
"as crianças habitantes da aldeia de belém e também as habitantes das suas vizinhanças mandou assassinar, nelas querendo incluir nosso senhor","taba belém pora pitanga i amundaba pora abé apitiukari, sesebé îandé îara moîese'a-potá"
que deram à sua mão direita?,mba'epe oîme'eng i 'ekatuápe?
fez vir outrora alguma coisa boa do céu para seus discípulos?,oîmbourype erimba'e mba'e-katu amõ ybaka suí o boîaetá supé?
se tu não endureceres teu coração,nde nhy'ã nde i moatãnhẽe'ỹme
vem para nos arrebatar,eîori oré rekyîa
não vos perceberam abaixai-vos,na pe andubi peîaŷbyk
